data_date,stock_name,previous_close,open,bid,ask,day_range,52week_range,volume,avg_volume,market_cap,beta_5Y_Monthly,PE_TTM,EPS_TTM,Earning_date,forward_div_yeild,ex_div_date,_1y_target_est
"October 29, 2021",Microsoft Corporation (MSFT),324.35,324.13,331.65,331.85,323.90 - 332.00,199.62 - 332.00,33620527.0,22537786.0,2.49T,0.8,37.1,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.76%),"Nov 17, 2021",355.22
"October 31, 2021",Microsoft Corporation (MSFT),324.35,324.13,331.76,331.8,323.90 - 332.00,200.12 - 332.00,33620527.0,22822103.0,2.49T,0.8,37.1,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.75%),"Nov 17, 2021",355.22
"October 31, 2021",Microsoft Corporation (MSFT),324.35,324.13,331.76,331.8,323.90 - 332.00,200.12 - 332.00,33620527.0,22822103.0,2.49T,0.8,37.1,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.75%),"Nov 17, 2021",355.22
"November 01, 2021",Microsoft Corporation (MSFT),331.62,331.36,329.64,330.0,326.37 - 331.49,200.12 - 332.00,27010757.0,22822103.0,2.473T,0.8,36.85,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.75%),"Nov 17, 2021",355.22
"November 02, 2021",Microsoft Corporation (MSFT),329.37,330.31,333.05,333.13,330.00 - 333.44,203.12 - 333.44,23788275.0,22887216.0,2.501T,0.8,37.27,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.75%),"Nov 17, 2021",355.22
"November 03, 2021",Microsoft Corporation (MSFT),333.13,333.9,333.85,333.74,330.65 - 334.90,208.16 - 334.90,21428121.0,23044572.0,2.508T,0.8,37.36,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.74%),"Nov 17, 2021",357.27
"November 04, 2021",Microsoft Corporation (MSFT),334.0,332.89,336.29,336.69,329.51 - 336.54,208.16 - 336.54,23974535.0,23100343.0,2.526T,0.8,37.64,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.74%),"Nov 17, 2021",357.27
"November 06, 2021",Microsoft Corporation (MSFT),336.44,338.51,335.84,336.16,334.42 - 338.78,208.16 - 338.79,22570098.0,23353873.0,2.523T,0.86,37.59,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.74%),"Nov 17, 2021",357.27
"November 06, 2021",Microsoft Corporation (MSFT),336.44,338.51,335.84,336.16,334.42 - 338.78,208.16 - 338.79,22570098.0,23353873.0,2.523T,0.86,37.59,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.74%),"Nov 17, 2021",357.27
"November 09, 2021",Microsoft Corporation (MSFT),336.06,337.3,337.01,0.0,334.44 - 337.61,208.16 - 338.79,20897001.0,23419990.0,2.53T,0.86,37.7,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.74%),"Nov 17, 2021",357.27
"November 09, 2021",Microsoft Corporation (MSFT),336.99,337.11,335.94,335.97,334.53 - 338.44,208.16 - 338.79,14156675.0,23419990.0,2.52T,0.86,37.55,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.74%),"Nov 17, 2021",357.27
"November 11, 2021",Microsoft Corporation (MSFT),336.99,337.11,335.94,335.97,334.53 - 338.44,208.16 - 338.79,14156675.0,23419990.0,2.52T,0.86,37.55,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.74%),"Nov 17, 2021",357.27
"November 12, 2021",Microsoft Corporation (MSFT),332.43,333.92,336.63,336.65,333.80 - 336.97,208.16 - 338.79,13901798.0,23650246.0,2.526T,0.86,37.63,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.75%),"Nov 17, 2021",357.27
"November 15, 2021",Microsoft Corporation (MSFT),332.43,333.92,338.6,338.75,333.80 - 337.22,208.16 - 338.79,23831049.0,23879857.0,2.528T,0.86,37.67,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.74%),"Nov 17, 2021",357.27
"November 16, 2021",Microsoft Corporation (MSFT),336.07,335.68,339.53,339.73,335.64 - 340.67,208.16 - 340.67,20241479.0,23769481.0,2.549T,0.86,37.98,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.74%),"Nov 17, 2021",357.27
"November 18, 2021",Microsoft Corporation (MSFT),339.12,338.18,340.2,340.21,337.13 - 340.35,208.16 - 342.19,8260421.0,23728530.0,2.548T,0.86,37.96,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.73%),"Nov 17, 2021",358.85
"November 18, 2021",Microsoft Corporation (MSFT),339.12,338.18,340.2,340.21,337.13 - 340.35,208.16 - 342.19,8260421.0,23728530.0,2.548T,0.86,37.96,8.94,"Jan 24, 2022 - Jan 28, 2022",2.48 (0.73%),"Nov 17, 2021",358.85
